image_id,method,class_pair_type,cs_pearson,cs_spearman,degenerate_flag
19086,KLIG-Adaptive,high_low,0.07967719462208221,0.08587719915883511,0
19086,KLIG-Adaptive,top1_top2,0.2582819637848994,0.1957871632424648,0
19086,KL-IG (linear),high_low,-0.1409946066783607,-0.07153965505683085,0
19086,KL-IG (linear),top1_top2,0.26697579543114186,0.22449004630596123,0
19086,KL-IG²,high_low,-0.03798689575468031,-0.03342702860388988,0
19086,KL-IG²,top1_top2,0.044408788955625,0.047264228069108294,0
19086,KL-IG² (adaptive),high_low,-0.03487978174093552,-0.017240767084537527,0
19086,KL-IG² (adaptive),top1_top2,-0.00277235869065167,-0.005137303310695629,0
18897,KLIG-Adaptive,high_low,-0.0036807134384673297,-0.013116139394736817,0
18897,KLIG-Adaptive,top1_top2,0.22848763063876837,0.1001015290948457,0
18897,KL-IG (linear),high_low,0.013884871664960793,0.045786859053741316,0
18897,KL-IG (linear),top1_top2,0.6308653727069728,0.37914004856814315,0
18897,KL-IG²,high_low,-0.007025444187527085,-0.006226037870677983,0
18897,KL-IG²,top1_top2,0.04815580053402946,0.04852469277228841,0
18897,KL-IG² (adaptive),high_low,-0.01377715107687752,-0.01444297794759155,0
18897,KL-IG² (adaptive),top1_top2,0.010261208583736626,0.014338472681217114,0
