method,class_pair_type,mean_cs,median_cs,mean_cs_spearman,n,n_degenerate
KLIG-Adaptive,high_low,0.03799824059180744,0.03799824059180744,0.03638052988204915,2,0
KL-IG (linear),high_low,-0.06355486750669995,-0.06355486750669995,-0.012876398001544768,2,0
KL-IG²,high_low,-0.022506169971103697,-0.022506169971103697,-0.019826533237283932,2,0
KL-IG² (adaptive),high_low,-0.02432846640890652,-0.02432846640890652,-0.015841872516064538,2,0
KLIG-Adaptive,top1_top2,0.2433847972118339,0.2433847972118339,0.14794434616865526,2,0
KL-IG (linear),top1_top2,0.4489205840690573,0.4489205840690573,0.3018150474370522,2,0
KL-IG²,top1_top2,0.04628229474482723,0.04628229474482723,0.04789446042069835,2,0
KL-IG² (adaptive),top1_top2,0.0037444249465424777,0.0037444249465424777,0.004600584685260742,2,0
