idx,raw_conf,raw_rand,ratio_conf,ratio_rand
62,0.001073663024021021,8.165056415586913e-11,2.369458712768274,0.11258665844015006
442,0.0008014447596534774,1.3514764082023496e-10,2.7184736250524875,0.14200249166619008
131,0.00011287246423370997,2.5595728817453614e-10,0.7625453702963133,0.3548930650927322
450,0.001118889889543771,1.717350113065336e-09,5.977386575242558,0.6314812413730116
199,0.0002759333173145306,1.0193433931618782e-10,0.7841845958489124,0.15579626204067662
310,0.0009065489961314579,3.02537430928051e-10,5.901709492651333,0.3188029383308019
346,0.0009481955257548324,1.2853281145658992e-10,2.166317348849436,0.23227607249839624
393,0.0013563581195507313,2.3457684328311643e-11,7.022324998954367,0.023525282982796207
69,0.00046584735007805506,2.6290720140680624e-10,0.5253732244291766,0.29284747094468816
28,0.00039531907829204476,3.1011915125179e-10,2.584400106647103,0.3035543515651375
338,0.0008153650278820302,3.780338087158598e-10,3.0652802373837913,0.23033897358969752
186,0.0009848882328703204,4.66237807593316e-10,2.510034863266156,0.3580571585885043
206,0.0005148006853190775,9.153653287746827e-11,2.85099247440048,0.08581064137912575
375,0.0010169785978645218,3.5371799967145707e-10,2.1094384131742565,0.48666316919639013
421,0.0012917187625670343,1.231195203114144e-10,5.4394866945090685,0.2063136237110769
292,0.000611693409459727,7.91078733169105e-11,1.864405764899271,0.06557541200989095
15,0.0005302780019573393,2.9212240642449427e-09,2.2399679120195644,0.6676234382988196
437,0.0005609656484459128,2.677345857188488e-10,2.1849911113112137,0.38861266640366576
400,0.000698684683207025,6.33886908674354e-10,3.071821577352722,0.619309412977646
84,0.0009251880191737631,2.1205389245514632e-09,1.5072559920269828,0.5560103729961011
150,0.0006551260711745937,5.880381863567653e-11,3.0063824663255296,0.2453752484008175
109,0.0003088870922070884,2.018541716916202e-09,0.9222701620922547,0.6428272642760691
193,0.0006211254214497202,6.601815295824256e-11,0.9909968146995387,0.08068466518270657
98,0.00040599112405227054,5.948421758352846e-10,1.8641757021393874,0.40335333666346707
24,0.00102860647158571,3.2614642275713017e-10,1.7036674956384144,0.21692373465153794
10,0.00039864380183796464,1.9285100976764397e-10,1.052366276499688,0.155906635601737
67,0.004586165083959492,8.245881528817079e-10,6.106377564922075,0.2260666952590519
52,0.0009324770776110187,2.4107224575285073e-10,1.544700012096007,0.10560731567786284
2,6.0911711449934007e-05,2.8122933110263037e-09,1.0812958376570292,0.9397490627178574
27,0.00017915476094179056,2.748094346842769e-09,1.1333535789225662,0.6123032427912812
458,0.0006723055403023254,6.906328272165122e-11,4.277937748397015,0.14203671297690706
