sim,Vanilla Grad,IG-zero,SmoothGrad,ExpGrad,IDG,Blur-IG,Guided IG,KLIG-Adaptive,KL-IG (linear),KL-IG²,KL-IG² (adaptive)
0.7778064168180465,0.023332433182699425,0.02112175681681641,0.03473712474346775,0.02972358771775992,0.02038194382935703,0.03597703786010772,0.029389134505230913,0.029931448018071356,0.029494019992166744,0.017434959775746058,0.018120420654052078
0.7415790267631406,0.022389173012147337,0.027011526464811114,0.03541104750717295,0.029191188604949153,0.02046499815536725,0.03556898090912351,0.0297954033758015,0.03480690559203638,0.033877691479360754,0.024679226341440114,0.028117110820603742
0.47094073580383794,0.014156784619913468,0.014460834534911794,0.01732736581946083,0.01637443361825364,0.01471947317950575,0.02116048381163269,0.016187592307914146,0.018431079226974303,0.018827456349775055,0.017726766491028955,0.018217807321831397
0.9793259594371858,0.004819486147261487,0.0040513751095326385,0.016667916080690206,0.010798940041932848,0.0031319782869352482,0.012517407720980738,0.0133086441902048,0.01291155674511323,0.013491995852242806,0.009464778514646425,0.012765665359074935
0.04518081815586226,0.012722130354852534,0.012657456159782244,0.017634452679089124,0.016269027363048187,0.011067958366792434,0.021211075856725024,0.013137219203384334,0.019973366958459957,0.01771143225567318,0.0185626445313676,0.01877415725154608
0.82722608828197,0.009796359663862029,0.009613780593134927,0.008956772935499336,0.008343409475240177,0.008568214222303423,0.013771044815288487,0.007829870213877885,0.009252275569586743,0.00945651894308236,0.0056262664752948725,0.005982852615105034
0.6861563120765664,0.02597262533059593,0.024535096436411868,0.031243973697667352,0.026288412570827847,0.019677645084753066,0.029795050857106188,0.03047650902897203,0.028194938983408645,0.03203381043602707,0.030662318512009044,0.026834514769946784
0.4391232055748498,0.011410468183363125,0.01846840947047823,0.028231553652147853,0.01962715728664656,0.012660304374445982,0.036434729134281064,0.02014663965642741,0.029842698016451237,0.026621809368914135,0.020988824501014025,0.025642192581510667
0.4682597501764236,0.017782446346818786,0.026493243067844143,0.03427344458730121,0.023664728257513187,0.02212157527944872,0.027113329213472256,0.02398363763430145,0.027863369886955973,0.025267338377680738,0.028054346251354445,0.030449732759721803
0.35016207922780934,0.025539859368260892,0.026991778027925382,0.023138564233298825,0.02584782796723343,0.028496671666026402,0.02057024349426495,0.025617644950177192,0.029336066775226287,0.02600167863115866,0.025242113417862897,0.028808845618738175
0.7166241953881385,0.015881643243521433,0.014570011016564683,0.02797774803202131,0.019820966838553222,0.011042517876242797,0.040649889712221214,0.026193657187093412,0.02738453573336597,0.027267935985850582,0.02887321743838958,0.026523540614243685
0.7922406325066904,0.028109105193468188,0.03847138258918214,0.042876670144931156,0.03940894940969775,0.025048525942317882,0.03925133676218291,0.039441636933732614,0.04882005773535221,0.05546070947185727,0.03392665129970391,0.025152410813971904
0.269472625732457,0.0107181832759159,0.012131984200130978,0.020784059347262508,0.01364693415244386,0.008606359022150052,0.022032498092285975,0.013824896126034004,0.017365321982860945,0.01909275189372302,0.01791852562998096,0.015585351878522086
0.35379747556182156,0.01011931039055146,0.009795969891349735,0.012208564520742754,0.011095182962001595,0.009765572573145613,0.01195936142577074,0.010758498339791738,0.013068159179950651,0.012233669597193362,0.009919642366758685,0.011602857157353685
0.7256103431577892,0.016006386925342838,0.016728313730164982,0.0190161239052875,0.021852216482228737,0.015464169329870263,0.025091543926158578,0.019666259309905475,0.030042471805183612,0.02309509950459074,0.02118605417840183,0.019626946692424707
0.9088303155074592,0.021145262866050413,0.018637008673194826,0.02726008713553743,0.021475573316921726,0.014629611980261106,0.030872526888629803,0.020262241453206917,0.020317119814912608,0.02442688402351134,0.02266397479121374,0.024606854903580104
