idx,y1,y2,y1_label,regime_ratio,regime,salience,sem_dist,align_Vanilla Grad,signblind_Vanilla Grad,align_SmoothGrad,signblind_SmoothGrad,align_IG-zero,signblind_IG-zero,align_Blur-IG,signblind_Blur-IG,align_IDG,signblind_IDG,align_Guided IG,signblind_Guided IG,align_ExpGrad,signblind_ExpGrad,align_KLIG-Adaptive,signblind_KLIG-Adaptive,align_KL-IG (linear),signblind_KL-IG (linear),align_KL-IG²,signblind_KL-IG²,align_KL-IG² (adaptive),signblind_KL-IG² (adaptive),align_Random,signblind_Random,native_KL-IG² (adaptive),native_signblind_KL-IG² (adaptive),native_KL-IG²,native_signblind_KL-IG²,align_GT-oracle,align_class-blind,align_Shuffle,align_spread,cleanliness
62,527,592,desktop computer,3.014390235948709,spatial,0.1387538769486124,0.2031785249710083,0.15377960145685202,0.2771594065001952,0.21016628788708522,0.367967291665659,0.1524005963940879,0.2237562174406672,-0.007664288747156623,0.26240224368422477,0.05040173208692404,0.07068390799571218,-0.17940610374923602,0.07358430708594456,0.04710842493935096,0.20957294363362353,0.06018481936133843,0.3229970946058212,0.20886024642379505,0.2722928494781757,-0.027053269909858714,0.40182138582992927,-0.2544128932914245,0.33405623109706606,-0.05937933785123259,-0.030966945829221184,-0.06596741670940988,0.1625941477522349,-0.13445966741221044,0.1978229243778922,0.9999999999999999,0.0,-0.01054810168602067,0.15004748176405913,clean
442,520,516,crib,2.760862920288402,spatial,0.07064539117158009,0.1392834186553955,-0.008491990385112171,0.17004154110104394,-0.05940573550766243,-0.038127890615624535,-0.046764852339671356,0.055802276277244815,0.2507306593871639,0.13192839815284693,-0.09271013082884004,0.04823320854350284,0.233995642751242,0.1385796379661243,0.18315093183960154,0.1890727531981102,0.25830665245631995,0.13806477993910926,0.13451087509909992,0.1787107116986913,0.20063119577105704,0.2918199574149707,0.2144106612141745,0.16193302022320155,0.08874786527380465,0.02806648318776265,0.19629780463285137,0.18192896944571013,0.19232351609300866,0.27273204066905377,1.0,0.0,-0.14047994180696768,0.1379630189548347,clean
131,461,524,breastplate,0.9389970785748587,spatial,0.040297215286092314,0.1376904845237732,-0.050033648599750784,0.19264996611202156,0.18466569310368347,0.3943388396076937,0.035466286586878795,0.2672950361969226,0.13464811772366103,0.2897485943909568,-0.05846231740393451,0.25403894725198894,0.1423626867854117,0.29128770068586063,-0.07185688106996103,0.20943414315661876,0.1119839921426154,0.17994766891113267,0.19390736657739638,0.4097670184697968,0.09285931050609218,0.20757743961747557,-0.023339803531699083,0.25519452087928707,0.03670179235101962,-0.08174151793291443,-0.13388169441462142,0.37730231410121245,0.007193537049209124,0.37215710486487674,1.0000000000000002,0.0,0.06393594380250912,0.10029499781137022,clean
450,511,817,convertible,4.619287114622592,spatial,0.06630555533060778,0.12720274925231934,0.15977495528268312,0.007489649087926765,0.03197530973811022,0.3031099612117113,-0.0011641169302648148,0.007982287510241515,0.15023747031610238,0.2932276762280137,-0.13358077764642926,-0.09189492404957818,0.10943820705076074,0.048325908588890396,0.019753419117633415,0.2622260899385508,0.10910276720459498,0.17421864676857096,-0.04749805928982131,0.31917141773527813,-0.38013606218779816,0.3878554247444994,-0.247718463878809,0.38304179933704835,0.050879493748939304,0.07314481355820344,-0.09104190899556339,0.22167108800982974,0.07871077577075268,0.38387662594308253,0.9999999999999998,0.0,0.033751528824248485,0.17162745192630938,messy
199,505,550,coffeepot,0.821156861078131,spatial,0.08012799247009628,0.12840503454208374,-0.14135761931826712,0.0658386096136487,0.031075274124536898,0.17741004563119056,0.10143938601393339,0.09879088873632194,0.07340110618923468,0.11031200603824896,0.06944979065911566,-0.03691501061592087,0.05084387917476981,-0.08530529891966859,-0.0067920342917410495,0.10297379682536308,-0.1735926242503115,0.1994011492925007,0.07091987020252696,0.2010031790367737,-0.1802985198225835,0.2947087372239021,-0.1851707736399537,0.1769131637715671,0.16336826916452574,-0.10123814671792025,-0.21282262873295651,0.13137745945952362,-0.32294759853399685,0.29185313943721586,1.0000000000000002,0.0,0.04737032271300748,0.11763920770923757,clean
310,651,729,microwave,5.654224403818628,spatial,0.049058163762700224,0.3398013114929199,-0.247574875882184,0.32468258170326,0.24038193741129746,0.20047202095170552,0.4083260552803362,0.3903018668238148,0.40101004959197806,0.34166361716648314,0.09978625540602103,0.11664332831156742,0.33813163827065856,0.4459371969940592,0.6547524849943366,0.7120188927061085,0.541073104212324,0.6217808000436371,0.5011729061762724,0.5699115878046511,0.02576558230562345,-0.08158635539145531,-0.10796035547408443,-0.041158870958733634,-0.041518037786665137,-0.013592784681169295,-0.18878239777643194,0.16845113172431278,-0.05086960007463949,0.27917392327848417,1.0,0.0,-0.15432761098769288,0.28546956859463385,messy
346,516,520,cradle,2.29307153289467,spatial,0.12645378607923963,0.1392834186553955,-0.20042802073041638,0.3048649643468016,0.16008913023807056,0.23207609207855096,0.04829871267266343,0.28119429764304404,0.48718771929110494,0.46457334691229196,-0.01168757081396333,0.30216144997887434,0.37757953961400076,0.34739945898479163,0.30691644862481166,0.3545694265298076,0.1064793940151852,0.3428714612947486,0.24538509161373104,0.3714189831593401,-0.098683375510919,0.29925780581783706,-0.15475707121176568,0.009567129611597293,0.13890872442931873,-0.062426611336845364,-0.1475054602426352,-0.01859671906656374,-0.0017520600348239442,0.30855197870831713,1.0,0.0,0.10641916840345053,0.22401617501386226,messy
393,521,926,Crock Pot,6.44337292236724,spatial,0.04236267206717076,0.22091013193130493,-0.23895774201639636,-0.0072367328686524365,0.018823683507779236,-0.011480065601092151,0.16103603165592728,0.14733854312136566,0.18894387264590087,0.32483395211206484,0.12979538352596193,-0.0950094746274718,0.13731207299139547,0.14779024590883297,0.2525861362569129,0.1204717285139335,0.17357706672977796,0.014150708170032953,0.2930002907612078,0.043274775419645896,0.06113016078849516,-0.05770304403988563,-0.07077149271317504,0.0998880292878175,0.08712222927842408,0.13996693531948176,-0.22588968751244798,0.07158426706980074,0.1846800075057615,0.13863860253840032,0.9999999999999998,0.0,-0.03361536254447322,0.1523198909076675,clean
69,577,494,gong,0.5420979628534114,featural,0.24438639880089147,0.21484792232513428,0.08416198864251827,0.01981120628057128,0.034960270119927694,0.08877169499261847,-0.03510245608511424,0.24218340467606445,0.15624359745580532,0.26676879438980755,0.19311136876788118,0.18863632973366534,0.05636705271555321,0.09736142493979198,-0.018283980305046448,0.3863536023091859,-0.2403223563987361,0.2840487784703515,-0.2980876254845349,0.365658595329457,0.03864667311403403,0.025365389762249006,0.3001969692335854,0.25590122819054884,-0.05288903823096739,0.055826892673629135,-0.10445777420325278,0.43750208394926493,-0.03266271458168718,0.3186704180252348,1.0,0.0,0.08160978378489228,0.17500161539641013,messy
28,410,599,apiary,2.787552825606117,spatial,0.04182810252941227,0.265430212020874,-0.01708035410882932,-0.07864963016255161,0.008864128036036494,-0.024696774113791776,0.3177967050100784,-0.033148537486411195,0.11858669838914362,-0.04209031995893102,0.10064220008148222,-0.0641031346495499,0.051992770319504174,0.05443789743259471,-0.031427830848926315,0.11531822364990264,0.005161824880771542,0.04474897420065806,0.04375622494470317,0.0126203297814798,-0.37077316725041487,0.3022363022386806,-0.12715316169731794,0.02323445679027256,-0.007958793205036676,0.006670105505433801,-0.144282988779751,0.051168943140224,-0.41535382065497617,0.2621120787233,1.0000000000000002,0.0,0.02941279198842736,0.16849742804734905,clean
338,671,518,mountain bike,3.5996649196674833,spatial,0.08021290930893138,0.2880600094795227,0.028899257860036918,0.1970743752444732,-0.014701819882241467,0.18397408164385787,0.19374075776758864,0.306765313769063,0.47382935987061564,0.5270628266077863,0.2408632550235372,0.26506638423588064,0.1952382804812719,0.2511779584719239,0.10631689874731311,0.14233467530982408,0.486832620145478,0.5346778303319059,0.2088436955985658,0.330596411925793,0.3620326092821234,0.46327756379175894,0.30488109055218976,0.4329745956592742,0.12331545171328939,-0.05520217922124486,0.2570719686855601,0.4229257019674815,0.2320046117461251,0.47722959841602164,1.0000000000000002,0.0,0.004699909754282938,0.16336131743394694,clean
