cos_confusable,iou_confusable,cos_random,iou_random
0.8514312505722046,0.2182188987082557,0.9082379341125488,0.10769298671487501
0.8309117555618286,0.10999026634806212,0.9484259486198425,0.3470023079811352
0.9248905777931213,0.4595380766766772,0.8789655566215515,0.1127966289642436
0.8688898682594299,0.18793503480269522,0.9206159114837646,0.23548530063513295
0.865180492401123,0.09612023767909117,0.9028860926628113,0.1450479233226175
0.834557831287384,0.16156659413908542,0.9040644764900208,0.18619385342780795
0.9116455316543579,0.42464508801793033,0.9191343784332275,0.25102223995200407
0.9026545286178589,0.14244080145713003,0.8971989750862122,0.07517025742062142
0.9430803656578064,0.4371634780613832,0.9088680744171143,0.11368579926305603
0.9114351272583008,0.19992347426812707,0.9309977889060974,0.21785350225706623
0.8569357991218567,0.1048088779284372,0.9493018984794617,0.3378839590441884
0.9043393731117249,0.37551400844323946,0.926848292350769,0.15227470963588474
0.8824206590652466,0.13857389095521247,0.934553861618042,0.17857310600714923
0.8873914480209351,0.20084242772343439,0.8496713638305664,0.1496654752084366
0.9515140652656555,0.37438369672380056,0.9409055709838867,0.3777924145121149
0.8360518217086792,0.0819792250333684,0.9300930500030518,0.17541006458799524
0.8238899111747742,0.19415488600114514,0.9339161515235901,0.20297290817540015
0.875700056552887,0.19330289193293695,0.9322516918182373,0.13746826260421768
0.8082005977630615,0.10354535057618389,0.9121131896972656,0.14132362974749085
0.915122389793396,0.27154364456139035,0.9208760261535645,0.18109087486461428
0.8963136076927185,0.08315344098088112,0.869072675704956,0.17120059726556333
0.9239412546157837,0.3387406616860519,0.8728801012039185,0.10762035035074455
0.9421979188919067,0.4694546945466705,0.9209338426589966,0.21538536018579812
0.9079034924507141,0.3838266909209063,0.9453475475311279,0.34462428984867366
0.8772088289260864,0.07305389221553761,0.8854321241378784,0.16680613668053612
0.9356516003608704,0.4119003430625882,0.9238215684890747,0.27137282724356593
0.7842324376106262,0.15036663611358828,0.8872464895248413,0.057093498504168415
0.8468526601791382,0.03489811071692315,0.928305983543396,0.29595787517407673
0.916541576385498,0.1979087089380262,0.9198219776153564,0.08207957925590288
0.8892581462860107,0.16358239413748732,0.8878023624420166,0.22171901631350294
0.8628919124603271,0.10558787237788402,0.9165369868278503,0.17146059021284485
0.8803173899650574,0.09760686004283256,0.9635614156723022,0.30707512764389544
0.9089244604110718,0.34998655552549074,0.9062528610229492,0.3137829912021817
0.9537487626075745,0.5255700820915016,0.8899126052856445,0.11072266230025635
0.8918455839157104,0.21981815529721407,0.8948932886123657,0.07346711736764645
0.9218865633010864,0.3264626605357399,0.9010936617851257,0.18121089523442574
0.9197546243667603,0.16998554306758848,0.8621456623077393,0.13469018543639316
0.9142513275146484,0.14988547869896934,0.9003585577011108,0.18827262823843685
0.937132716178894,0.17609561752979794,0.931218147277832,0.23191322273474432
0.8352723121643066,0.11837589695586825,0.8861119151115417,0.14025997636572118
0.9328904151916504,0.3235867446392057,0.9509888887405396,0.24766262184192975
0.938711404800415,0.4357330891607899,0.9131513833999634,0.15246451375802633
0.8748735785484314,0.26791308741775244,0.8830814957618713,0.12917454316314286
0.9185511469841003,0.288678857612344,0.9361939430236816,0.20431861804212845
0.9298368692398071,0.4327812678466974,0.9483646154403687,0.23090124546423904
0.8924154043197632,0.2576068975887224,0.9196047782897949,0.18204946996457852
0.90752112865448,0.17772979062990435,0.9288792014122009,0.1765753938483793
0.9113699793815613,0.16954920516518132,0.8505934476852417,0.08785014309249507
0.8034828305244446,0.10174699324023274,0.9168657064437866,0.33709780524167
0.9044691324234009,0.3532552996384091,0.8668451905250549,0.1571303425698939
0.9356146454811096,0.18510296618166205,0.9446929097175598,0.09986847873735209
0.8923826217651367,0.20274222158291252,0.8702491521835327,0.21686630134318563
0.8884552717208862,0.14897221077683973,0.9308927059173584,0.21892916140306143
0.8672616481781006,0.16282734646574143,0.8956032991409302,0.14221373003951493
0.8668702840805054,0.0801687763712735,0.9207746386528015,0.17416939634994189
0.8867858648300171,0.2304674088968412,0.8701852560043335,0.09328976034854322
0.9149573445320129,0.1975750632487481,0.9494802355766296,0.2531468531467267
0.8592588901519775,0.11418039703330186,0.9391504526138306,0.20135995786036423
0.7399069666862488,0.009455598921655551,0.9234192371368408,0.13684973717593943
0.9504653215408325,0.32356043028879794,0.9315742254257202,0.2190596463958524
0.9197224378585815,0.3003833799604702,0.9330040812492371,0.2971407889973129
0.8770529627799988,0.1863861971164328,0.9209614992141724,0.3517969718194128
0.7038364410400391,0.04620517097579391,0.8983345031738281,0.15483039536053994
0.9382930397987366,0.4145667737750636,0.9463589191436768,0.1503735276593105
0.8308995962142944,0.16835095235869774,0.8505034446716309,0.11675940351652937
0.9206224083900452,0.3142931937171129,0.9217078685760498,0.12582454565845824
0.9150574207305908,0.20072748157356143,0.9388397932052612,0.05740537806623223
0.8020044565200806,0.08273272625260768,0.9405072927474976,0.06716576630223864
0.8041043281555176,0.060969937846154086,0.8394572138786316,0.03916373421650211
0.891356348991394,0.25203292591656173,0.8633596301078796,0.09659935309026287
0.9201520085334778,0.3843946584260101,0.9345142841339111,0.13677963030077167
0.9294100999832153,0.4651638147518162,0.8849932551383972,0.23933017190266778
0.9253168106079102,0.20135995786036423,0.9330527782440186,0.21159322361107602
0.9074934124946594,0.18577669218836687,0.8928048014640808,0.13381841189490945
0.9071451425552368,0.2553159553708634,0.8803545236587524,0.2037232511274332
0.8405563235282898,0.04585626146404625,0.9515396356582642,0.30553966189841064
0.8547695875167847,0.12265628495989499,0.8920531272888184,0.19239543726226596
0.8811378479003906,0.22351679422794155,0.9213161468505859,0.18868103244130302
0.9445713758468628,0.2015229155690812,0.8339719772338867,0.11338925132023547
0.902089536190033,0.19883404214641429,0.8929077386856079,0.24273334983894887
0.8346424102783203,0.10097862816513758,0.9554481506347656,0.1833569071191969
0.7997373342514038,0.08259650636183627,0.9198513031005859,0.20667115255204907
0.791731595993042,0.033108219403708984,0.9326951503753662,0.24484944532475988
0.8151454925537109,0.07140416809016424,0.8380807042121887,0.087944492627889
0.8820871114730835,0.15485177683660703,0.887452244758606,0.14646072293554518
0.8616905212402344,0.15127322780447292,0.937455415725708,0.2500871991627634
0.8749423027038574,0.046816323124406735,0.8578909635543823,0.07919301415232968
0.9209438562393188,0.07696930671814682,0.8980076313018799,0.24071968760800716
0.8799984455108643,0.2643753464696546,0.9058688282966614,0.2303505761214855
0.7852402925491333,0.09301616346443035,0.9303175210952759,0.2569138276551819
0.8044870495796204,0.06127368064950047,0.9357305765151978,0.13070127997109668
0.946438193321228,0.44499481626515086,0.91595059633255,0.22667709759425644
0.9150867462158203,0.22980392156851479,0.8824673891067505,0.20641253665326809
0.7788363695144653,0.1980975817518347,0.9076300859451294,0.2641338304946769
0.8512178659439087,0.11522048364148504,0.824864387512207,0.11009864201348693
0.8877246975898743,0.0799827808867499,0.9434610605239868,0.24013840830437955
0.9353384971618652,0.3975044563277643,0.8665052652359009,0.1127966289642436
0.8403964042663574,0.04515914014329064,0.8876621723175049,0.20329960193745944
0.8155093789100647,0.08304916476018342,0.8888813257217407,0.22301281738865295
0.8403775095939636,0.033917164640414624,0.9193671941757202,0.15569579437092648
