method,CS_loc,rank
Blur-IG,0.025089940149953395,1
KL-IG (linear),0.023442216406864353,2
SmoothGrad,0.023334897222856536,3
KLIG-Adaptive,0.023186043874971387,4
KL-IG² (adaptive),0.02038006598976235,5
KL-IG²,0.020300086736637774,6
Guided IG,0.02022166510224919,7
ExpGrad,0.01978777594818793,8
IG-zero,0.018140196581794,9
Vanilla Grad,0.016536935866245904,10
IDG,0.015218203491751523,11
