category,n,spatial,featural,pct_spatial
albatross,1,1,0,100
alligator lizard,1,1,0,100
ambulance,1,1,0,100
amphibian,1,1,0,100
analog clock,1,1,0,100
ant,1,1,0,100
apiary,1,1,0,100
apron,1,1,0,100
armadillo,1,1,0,100
artichoke,1,1,0,100
ashcan,1,1,0,100
axolotl,1,1,0,100
baboon,1,1,0,100
badger,1,1,0,100
balance beam,1,1,0,100
ballpoint,1,1,0,100
banana,1,1,0,100
banded gecko,1,1,0,100
banjo,1,1,0,100
bannister,1,1,0,100
barn,1,1,0,100
barometer,1,1,0,100
barracouta,1,1,0,100
barrow,1,1,0,100
baseball,1,1,0,100
basenji,1,1,0,100
basketball,1,1,0,100
bassinet,1,1,0,100
bassoon,1,1,0,100
bathing cap,1,1,0,100
beach wagon,1,1,0,100
beacon,1,1,0,100
beagle,1,1,0,100
beaker,1,1,0,100
beaver,1,1,0,100
bee eater,1,1,0,100
bell pepper,1,1,0,100
bib,1,1,0,100
bighorn,1,1,0,100
binder,1,1,0,100
binoculars,1,1,0,100
birdhouse,1,1,0,100
bittern,1,1,0,100
black and gold garden spider,1,1,0,100
black stork,1,1,0,100
black swan,1,1,0,100
black widow,1,1,0,100
black-footed ferret,1,1,0,100
bloodhound,1,1,0,100
bluetick,1,1,0,100
boa constrictor,1,1,0,100
bolo tie,1,1,0,100
bonnet,1,1,0,100
book jacket,1,1,0,100
bookcase,1,1,0,100
borzoi,1,1,0,100
bottlecap,1,1,0,100
bow,1,1,0,100
bow tie,1,1,0,100
box turtle,1,1,0,100
boxer,1,1,0,100
brain coral,1,1,0,100
brambling,1,1,0,100
brass,1,1,0,100
briard,1,1,0,100
broccoli,1,1,0,100
broom,1,1,0,100
brown bear,1,1,0,100
buckeye,1,1,0,100
buckle,1,1,0,100
bulbul,1,1,0,100
bull mastiff,1,1,0,100
bullet train,1,1,0,100
bulletproof vest,1,1,0,100
burrito,1,1,0,100
bustard,1,1,0,100
butternut squash,1,1,0,100
cab,1,1,0,100
cabbage butterfly,1,1,0,100
caldron,1,1,0,100
cannon,1,1,0,100
car mirror,1,1,0,100
carbonara,1,1,0,100
cardoon,1,1,0,100
carousel,1,1,0,100
carton,1,1,0,100
castle,1,1,0,100
catamaran,1,1,0,100
cauliflower,1,1,0,100
cellular telephone,1,1,0,100
centipede,1,1,0,100
chain,1,1,0,100
chain mail,1,1,0,100
chain saw,1,1,0,100
chambered nautilus,1,1,0,100
cheetah,1,1,0,100
chest,1,1,0,100
chickadee,1,1,0,100
chimpanzee,1,1,0,100
china cabinet,1,1,0,100
chocolate sauce,1,1,0,100
chow,1,1,0,100
church,1,1,0,100
cicada,1,1,0,100
cleaver,1,1,0,100
cliff dwelling,1,1,0,100
clog,1,1,0,100
clumber,1,1,0,100
cocker spaniel,1,1,0,100
cockroach,1,1,0,100
cocktail shaker,1,1,0,100
coffee mug,1,1,0,100
coffeepot,1,1,0,100
colobus,1,1,0,100
combination lock,1,1,0,100
comic book,1,1,0,100
common iguana,1,1,0,100
conch,1,1,0,100
container ship,1,1,0,100
coral fungus,1,1,0,100
coral reef,1,1,0,100
corkscrew,1,1,0,100
cornet,1,1,0,100
cougar,1,1,0,100
cowboy boot,1,1,0,100
crane,1,1,0,100
crayfish,1,1,0,100
crib,1,1,0,100
croquet ball,1,1,0,100
crossword puzzle,1,1,0,100
crutch,1,1,0,100
cucumber,1,1,0,100
cup,1,1,0,100
custard apple,1,1,0,100
daisy,1,1,0,100
damselfly,1,1,0,100
dial telephone,1,1,0,100
diamondback,1,1,0,100
diaper,1,1,0,100
digital clock,1,1,0,100
dingo,1,1,0,100
dining table,1,1,0,100
dishrag,1,1,0,100
dogsled,1,1,0,100
doormat,1,1,0,100
dowitcher,1,1,0,100
dragonfly,1,1,0,100
drake,1,1,0,100
dugong,1,1,0,100
dumbbell,1,1,0,100
earthstar,1,1,0,100
echidna,1,1,0,100
eel,1,1,0,100
eft,1,1,0,100
electric locomotive,1,1,0,100
electric ray,1,1,0,100
entertainment center,1,1,0,100
face powder,1,1,0,100
feather boa,1,1,0,100
fiddler crab,1,1,0,100
fire screen,1,1,0,100
fireboat,1,1,0,100
flagpole,1,1,0,100
flamingo,1,1,0,100
flat-coated retriever,1,1,0,100
flatworm,1,1,0,100
flute,1,1,0,100
fly,1,1,0,100
folding chair,1,1,0,100
football helmet,1,1,0,100
fountain,1,1,0,100
four-poster,1,1,0,100
fox squirrel,1,1,0,100
freight car,1,1,0,100
fur coat,1,1,0,100
gar,1,1,0,100
garter snake,1,1,0,100
gas pump,1,1,0,100
gasmask,1,1,0,100
geyser,1,1,0,100
giant panda,1,1,0,100
gibbon,1,1,0,100
go-kart,1,1,0,100
goblet,1,1,0,100
golden retriever,1,1,0,100
goldfinch,1,1,0,100
golf ball,1,1,0,100
golfcart,1,1,0,100
gondola,1,1,0,100
goose,1,1,0,100
gorilla,1,1,0,100
gown,1,1,0,100
grand piano,1,1,0,100
great grey owl,1,1,0,100
great white shark,1,1,0,100
greenhouse,1,1,0,100
grey fox,1,1,0,100
grille,1,1,0,100
groom,1,1,0,100
guacamole,1,1,0,100
guenon,1,1,0,100
guillotine,1,1,0,100
gyromitra,1,1,0,100
half track,1,1,0,100
hammer,1,1,0,100
hammerhead,1,1,0,100
hamper,1,1,0,100
hamster,1,1,0,100
hand blower,1,1,0,100
hand-held computer,1,1,0,100
handkerchief,1,1,0,100
hard disc,1,1,0,100
hare,1,1,0,100
harmonica,1,1,0,100
harp,1,1,0,100
hartebeest,1,1,0,100
harvester,1,1,0,100
harvestman,1,1,0,100
head cabbage,1,1,0,100
hen-of-the-woods,1,1,0,100
hermit crab,1,1,0,100
hip,1,1,0,100
hippopotamus,1,1,0,100
hog,1,1,0,100
hognose snake,1,1,0,100
holster,1,1,0,100
hook,1,1,0,100
