sigma,Vanilla Grad,SmoothGrad,IG-zero,Blur-IG,IDG,Guided IG,ExpGrad,KLIG-Adaptive,KL-IG (linear),KL-IG²,KL-IG² (adaptive),Random
2,0.017461953802925236,0.054976370434878324,0.02468378460655263,0.021201583314085743,0.022587052891347194,0.032126243733158394,0.0424905604588784,0.06690026022215523,0.06895621543617571,0.06984805231161154,0.14553648277999576,0.02054946941205775
4,0.002840025179458309,0.011741303268783589,0.004198747760376143,0.004590585128615502,0.0039026764835301203,0.006670041695579917,0.011842365301873548,0.019934650821803342,0.021894924158771187,0.04087911387360929,0.11409810778902357,0.0052443419775459145
6,0.0009482766103941836,0.004236025316787406,0.001386112533623871,0.0018913703455778943,0.0012966201137605024,0.0027144952263636474,0.005767740090213076,0.00996175666686971,0.011400565105727083,0.03166964017022086,0.10207778487304398,0.0023710510825843993
8,0.0004613193931606059,0.00202646583090091,0.0006684423870827209,0.0010398795299110212,0.0006152053772702626,0.0014994196383157985,0.0035872209324633282,0.00629100525917712,0.007354479528668198,0.026684701152490185,0.09446687478664409,0.00135966118002885
