image_id,method,encoder,cs_cosine,cs_l2,y1,y2
44,KL-IG² (adaptive),ResNet,0.08367884159088135,6.187342643737793,520,765
44,KL-IG² (adaptive),ViT,0.17480158805847168,23.22369384765625,520,765
44,KL-IG² (adaptive),CLIP,0.0516585111618042,3.743421792984009,520,765
44,KL-IG²,ResNet,0.04789078235626221,5.075211048126221,520,765
44,KL-IG²,ViT,0.12702703475952148,20.525434494018555,520,765
44,KL-IG²,CLIP,0.03227996826171875,2.956498146057129,520,765
44,KL-IG (linear),ResNet,0.05397903919219971,5.271744728088379,520,765
44,KL-IG (linear),ViT,0.08064764738082886,16.278894424438477,520,765
44,KL-IG (linear),CLIP,0.01940023899078369,2.25624942779541,520,765
44,KLIG-Adaptive,ResNet,0.1207992434501648,7.56773042678833,520,765
44,KLIG-Adaptive,ViT,0.12117540836334229,20.917171478271484,520,765
44,KLIG-Adaptive,CLIP,0.04346323013305664,3.395691394805908,520,765
44,IG,ResNet,0.09085631370544434,6.659090042114258,520,765
44,IG,ViT,0.1880629062652588,26.907182693481445,520,765
44,IG,CLIP,0.02588486671447754,2.712580442428589,520,765
44,Random,ResNet,0.04864811897277832,4.892181396484375,520,765
44,Random,ViT,0.06894135475158691,17.214893341064453,520,765
44,Random,CLIP,0.039960622787475586,3.280574083328247,520,765
165,KL-IG² (adaptive),ResNet,0.1034126877784729,5.913545608520508,671,518
165,KL-IG² (adaptive),ViT,0.18437659740447998,26.622844696044922,671,518
165,KL-IG² (adaptive),CLIP,0.03949272632598877,3.2457494735717773,671,518
165,KL-IG²,ResNet,0.08568423986434937,5.856747627258301,671,518
165,KL-IG²,ViT,0.070656418800354,15.414732933044434,671,518
165,KL-IG²,CLIP,0.024667680263519287,2.5509538650512695,671,518
165,KL-IG (linear),ResNet,0.11475634574890137,6.872973442077637,671,518
165,KL-IG (linear),ViT,0.11644411087036133,21.428791046142578,671,518
165,KL-IG (linear),CLIP,0.04856640100479126,3.6591691970825195,671,518
165,KLIG-Adaptive,ResNet,0.217859148979187,9.504648208618164,671,518
165,KLIG-Adaptive,ViT,0.1698663830757141,26.24235725402832,671,518
165,KLIG-Adaptive,CLIP,0.07639777660369873,4.65828275680542,671,518
165,IG,ResNet,0.08562356233596802,5.851301193237305,671,518
165,IG,ViT,0.12442159652709961,23.215124130249023,671,518
165,IG,CLIP,0.03610944747924805,3.1878662109375,671,518
165,Random,ResNet,0.08128076791763306,5.545006275177002,671,518
165,Random,ViT,0.041360557079315186,13.550962448120117,671,518
165,Random,CLIP,0.025581002235412598,2.5022196769714355,671,518
40,KL-IG² (adaptive),ResNet,0.11226308345794678,6.151280403137207,529,520
40,KL-IG² (adaptive),ViT,0.11144578456878662,18.539697647094727,529,520
40,KL-IG² (adaptive),CLIP,0.03519546985626221,3.0447938442230225,529,520
40,KL-IG²,ResNet,0.06190311908721924,4.782595157623291,529,520
40,KL-IG²,ViT,0.0753406286239624,14.403258323669434,529,520
40,KL-IG²,CLIP,0.024118781089782715,2.553208827972412,529,520
40,KL-IG (linear),ResNet,0.07305866479873657,5.529006481170654,529,520
40,KL-IG (linear),ViT,0.10513758659362793,18.856950759887695,529,520
40,KL-IG (linear),CLIP,0.02399998903274536,2.563169002532959,529,520
40,KLIG-Adaptive,ResNet,0.07206529378890991,6.053957462310791,529,520
40,KLIG-Adaptive,ViT,0.1565767526626587,22.655778884887695,529,520
40,KLIG-Adaptive,CLIP,0.029604673385620117,2.860599994659424,529,520
40,IG,ResNet,0.09671342372894287,6.853245735168457,529,520
40,IG,ViT,0.11776310205459595,20.775583267211914,529,520
40,IG,CLIP,0.012631893157958984,1.8799076080322266,529,520
40,Random,ResNet,0.12031269073486328,5.991082668304443,529,520
40,Random,ViT,0.1569535732269287,22.12039566040039,529,520
40,Random,CLIP,0.02184152603149414,2.304205894470215,529,520
233,KL-IG² (adaptive),ResNet,0.13499665260314941,5.61207914352417,431,520
233,KL-IG² (adaptive),ViT,0.03553628921508789,9.156665802001953,431,520
233,KL-IG² (adaptive),CLIP,0.04816079139709473,3.498861789703369,431,520
233,KL-IG²,ResNet,0.06787383556365967,4.285261631011963,431,520
233,KL-IG²,ViT,0.059525251388549805,12.007716178894043,431,520
233,KL-IG²,CLIP,0.023212015628814697,2.454312801361084,431,520
233,KL-IG (linear),ResNet,0.10677844285964966,6.286808490753174,431,520
233,KL-IG (linear),ViT,0.04380011558532715,10.295348167419434,431,520
233,KL-IG (linear),CLIP,0.023416221141815186,2.5740513801574707,431,520
233,KLIG-Adaptive,ResNet,0.07982242107391357,6.184018135070801,431,520
233,KLIG-Adaptive,ViT,0.07448703050613403,12.826404571533203,431,520
233,KLIG-Adaptive,CLIP,0.15438377857208252,6.4981465339660645,431,520
233,IG,ResNet,0.12311214208602905,7.060866832733154,431,520
233,IG,ViT,0.08912622928619385,15.712991714477539,431,520
233,IG,CLIP,0.0585903525352478,3.929154396057129,431,520
233,Random,ResNet,0.09627896547317505,4.499669075012207,431,520
233,Random,ViT,0.03972822427749634,10.225746154785156,431,520
233,Random,CLIP,0.021693170070648193,2.362842082977295,431,520
87,KL-IG² (adaptive),ResNet,0.1603679656982422,7.887535095214844,926,521
87,KL-IG² (adaptive),ViT,0.22745007276535034,26.154830932617188,926,521
87,KL-IG² (adaptive),CLIP,0.08424240350723267,4.508845806121826,926,521
87,KL-IG²,ResNet,0.06481212377548218,4.89724588394165,926,521
87,KL-IG²,ViT,0.21435272693634033,25.141324996948242,926,521
87,KL-IG²,CLIP,0.038874804973602295,3.059068202972412,926,521
87,KL-IG (linear),ResNet,0.05734813213348389,4.502176284790039,926,521
87,KL-IG (linear),ViT,0.1354781985282898,19.49225616455078,926,521
87,KL-IG (linear),CLIP,0.03755611181259155,3.019468069076538,926,521
87,KLIG-Adaptive,ResNet,0.1848618984222412,9.49168586730957,926,521
87,KLIG-Adaptive,ViT,0.3548094630241394,35.40861511230469,926,521
87,KLIG-Adaptive,CLIP,0.07802003622055054,4.44352912902832,926,521
87,IG,ResNet,0.07062166929244995,5.847073554992676,926,521
87,IG,ViT,0.21829718351364136,27.1689453125,926,521
87,IG,CLIP,0.06432950496673584,4.16399621963501,926,521
87,Random,ResNet,0.06714487075805664,4.321196556091309,926,521
87,Random,ViT,0.053120195865631104,11.321557998657227,926,521
87,Random,CLIP,0.01905691623687744,2.218053102493286,926,521
151,KL-IG² (adaptive),ResNet,0.3187764883041382,10.471895217895508,518,450
151,KL-IG² (adaptive),ViT,0.33745455741882324,34.179351806640625,518,450
151,KL-IG² (adaptive),CLIP,0.06197768449783325,4.218868732452393,518,450
151,KL-IG²,ResNet,0.07512027025222778,5.3974385261535645,518,450
151,KL-IG²,ViT,0.18867278099060059,25.80071449279785,518,450
151,KL-IG²,CLIP,0.029031753540039062,2.874558210372925,518,450
151,KL-IG (linear),ResNet,0.10600459575653076,6.056426048278809,518,450
151,KL-IG (linear),ViT,0.23864120244979858,26.478687286376953,518,450
151,KL-IG (linear),CLIP,0.1558774709701538,6.501351833343506,518,450
151,KLIG-Adaptive,ResNet,0.1706256866455078,8.44443130493164,518,450
